script,function,artifact_type,path_pattern,root_constant,notes
scripts/lambda_chain.py,<module>,other,"
lambda_chain.py

Compute monthly cloud feedback via product:
    lambda_cld^(m) = gamma^(m) * (dLCF/dTs)^(m)
and decompose month-to-month departures into gamma / dLCF_dTs / synergy.

Reads:
  - output/gamma/GAMMA_<REGION>__*.csv  (auto-pick binned_* or unbinned; use overall rows bin=NaN)
  - output/dLCF_dTs/ALINE_<REGION>.csv  (A-line; column dLCF_dTs)
  - output/dLCF_dTs/BCHAIN_<REGION>.csv (B-line; column dLCF_dTs_chain)

Args:
  --region NEP            # single region
  --regions ALL|SEP,SEA   # run multiple
  --method A|B|BOTH       # default BOTH

Outputs per region:
  - output/lambda/LAMBDA_<REGION>_A.csv, ..._B.csv
  - output/lambda/LAMBDA_HARM_<REGION>_A.csv, ..._B.csv
  - output/lambda/LAMBDA_ATTR_<REGION>_A.csv, ..._B.csv
Table 5 (combined):
  - output/tables/Table5_lambda.csv
Figure 4:
  - single region:  output/figures/Fig4_lambda_polar_<REGION>.png
  - multi-region :  output/figures/Fig4_lambda_polar_obs_vs_model.png
",,heuristic string match
scripts/make_cmip_panel.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/make_cmip_panel.py,<module>,other,gws/nopw/j04/csgap/ceppi/data/cmip6/5x5,CMIP_ROOT,constant definition; Path constructor
scripts/make_cmip_panel.py,main,table,<OUT>,,variable placeholder
scripts/make_table1_harmonics.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/make_table1_harmonics.py,main,table,<OUT_CSV>,,variable placeholder
scripts/make_table1_harmonics.py,<module>,other,"
Aggregate harmonics (A, phi) from output/harmonics/ into one tall table:
  output/tables/Table1_harmonics_A_phi.csv

It ingests:
  - cllmodis_harmonics_*.csv
  - clswlow_harmonics_*.csv, cllwlow_harmonics_*.csv
  - ERA5_*_harmonics_*.csv
  - CERES_*_harmonics_*.csv   (if present in future)

Expected columns (robust to presence/absence of extras):
  [""source"",""var"",""region"",""span"",""amplitude"",""phase_deg"",""R2"",""n_valid""]
",,heuristic string match
scripts/obs_periodogram_test.py,ensure_dirs,other,<P>,,variable placeholder; Path constructor; directory creation
scripts/obs_periodogram_test.py,make_figure,figure,<OUT_PNG>,,variable placeholder
scripts/obs_periodogram_test.py,run_one_region,table,<OUT_CSV>,,variable placeholder
scripts/obs_periodogram_test.py,main,other,<OUT_DIR>,,variable placeholder; directory creation
scripts/obs_periodogram_test.py,<module>,other,"
obs_periodogram_test.py

1) 读取 output/regional_monthly/cllmodis_mean_2003-2022_<REGION>.csv （需含列: month,value）
2) 计算功率谱：
   - 若月份等间隔且齐全（1..12），用 scipy.signal.periodogram (fs=1 month^-1)
   - 否则自动用 Lomb–Scargle (scipy.signal.lombscargle)
3) 拟合 AR(1) 系数 phi（基于 value 去均值后的 lag-1 自相关），构建红噪声谱：
   P_red(f) = sigma2 * (1 - phi^2) / (1 + phi^2 - 2 phi cos(2π f))
4) 用 2 自由度卡方近似给出 95% 阈值：P95(f) = P_red * chi2.ppf(0.95, 2) / 2
   并在 f0 = 1/12 month^-1 处判断功率是否显著（p-value 也会给出）。
5) 输出：
   - 图：fig/periodogram_<REGION>.png （观测功率谱 + 红噪声谱 + 95% 阈值 + 年频率标记）
   - 表：obs/periodogram_<REGION>.csv （列：freq, P_obs, P_red, p_value）

依赖：pandas, numpy, scipy, matplotlib
",,heuristic string match
scripts/obs_periodogram_test.py,main,other,output/rednoisefile,,heuristic string match
scripts/obs_periodogram_test.py,parse_args,table,output/regional_monthly/cllmodis_region_mean_2003-2022_{region}.csv,,heuristic string match
scripts/region_mean_ceres.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/region_mean_ceres.py,main,table,<OUT_CSV>,,variable placeholder
scripts/region_mean_era5.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/region_mean_era5.py,main,table,<HARM_PATH>,,variable placeholder
scripts/region_mean_era5.py,main,table,<OUT_CSV>,,variable placeholder
scripts/region_mean_era5.py,main,table,<SMALL_PATH>,,variable placeholder
scripts/region_mean_modis.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/region_mean_modis.py,main,table,<OUT_NC>,,variable placeholder
scripts/region_mean_modis.py,main,table,<OUT_CSV>,,variable placeholder
scripts/region_mean_modis.py,main,table,<OUT_CSV_CLIM>,,variable placeholder
scripts/region_mean_modis.py,main,table,<OUT_CSV_FIT>,,variable placeholder
scripts/region_mean_modis.py,<module>,log,"
Compute regional mean time series, monthly climatology, and first-harmonic fit
for MODIS/LCRE on Paulo's 5x5 monthly grids.

Outputs (under output/):
  - regional_monthly/<var>_region_mean_<span>_<REGION>.nc
  - regional_monthly/<var>_region_mean_<span>_<REGION>.csv
  - regional_monthly/<var>_climatology_<span>_<REGION>.csv
  - harmonics/<var>_harmonics_<span>_<REGION>.csv

Usage:
  python scripts/region_mean_modis.py --region SEP --var cllmodis
  # var: cllmodis, clswlow, cllwlow
",,heuristic string match
scripts/seasonal_consistency.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/seasonal_consistency.py,main,figure,<FIG_PATH>,,variable placeholder
scripts/seasonal_consistency.py,<module>,log,"
Seasonal consistency diagnostics (Shape / Amplitude / Phase) + Taylor diagram.

Metrics per model (within a region):
- Shape correlation r:
    * raw   : Pearson r between 12-month climatologies (from tables file)
    * harm  : correlation of first-harmonic reconstructions -> r_harm = cos(Δφ)
- Amplitude:
    * std_ratio ≈ σ_model / σ_obs      (proxy via harmonic amplitude ratio if std not available)
    * A_ratio   = A_model / A_obs      (from tables file)
- Phase:
    * dphi = φ_model − φ_obs normalized to [−180°, 180°)

Inputs:
  - tables/cmip_amip_{var}_vs_obs_{span}.csv   (produced by harmonic_summary_cmip_amip.py)
    required columns: ['model','region','amplitude_ratio','delta_phase_deg','corr_clim12',
                       'A_model','A_obs','phi_model_deg','phi_obs_deg']

Usage:
  python scripts/seasonal_consistency.py --var cllisccp --region NEP --shape raw
  python scripts/seasonal_consistency.py --var clswlow  --regions ALL --shape harm

Outputs:
  - output/tables/SEASONAL_consistency_{var}_{region}.csv        (per-model metrics)
  - output/figures/Fig_Taylor_{var}_{region}.png                  (Taylor diagram)
  - If --regions ALL: one CSV per region + one Taylor per region.
",,heuristic string match
scripts/seasonal_consistency_rank.py,ensure_dirs,other,<P>,,variable placeholder; Path constructor; directory creation
scripts/seasonal_consistency_rank.py,plot_regionwise,figure,<OUT_PNG>,,variable placeholder
scripts/seasonal_consistency_rank.py,plot_global_top,figure,<OUT_PNG>,,variable placeholder
scripts/seasonal_consistency_rank.py,main,other,<FIG_DIR>,,variable placeholder; directory creation
scripts/seasonal_consistency_rank.py,main,other,<TBL_DIR>,,variable placeholder; directory creation
scripts/seasonal_consistency_rank.py,main,table,<OUT_CSV>,,variable placeholder
scripts/seasonal_consistency_rank.py,<module>,other,"
seasonal_consistency_rank.py
============================

用途
----
读取“季节一致性”统计结果，计算综合相似度分数 S，并输出：
1) 每个区域的横向条形图（标注 Top-5） → figures/seasonal_rank_regionwise_<region>.png
2) 全局 Top-K（默认10）横向条形图 → figures/seasonal_rank_global.png
3) 汇总 CSV（各区域 S 与全局均分） → output/seasonal_rank_summary.csv

分数定义
--------
S = (1/3)*r + (1/3)*(1 - |amp_ratio - 1|) + (1/3)*(1 - |dphi|/180)

输入
----
默认从 --indir 目录读取所有 CSV（推荐传入 output/tables）。
脚本自动兼容下列列名（不区分大小写）：
- r:            直接列名 r，或 shape_r
- amp_ratio:    直接列名 amp_ratio，或 A_ratio；若都没有但有 std_ratio，则以 std_ratio 近似 amp_ratio
- dphi:         直接列名 dphi，或 dphi_deg，或 delta_phase_deg
- region:       若表中没有 region 列，则从文件名推断（例如 SEASONAL_consistency_..._NEP.csv → NEP）

快速使用
--------
python scripts/seasonal_consistency_rank.py --indir output/tables
python scripts/seasonal_consistency_rank.py --indir output/tables --topk 15

参数
----
--indir       输入目录（包含各区 CSV），默认 output/tables
--outdir_fig  图输出目录（默认 output/figures）
--outdir_tab  表输出目录（默认 output）
--topk        全局 TopK 模型数量（默认 10）

依赖
----
pandas, numpy, matplotlib
",,heuristic string match
scripts/seasonal_consistency_rank.py,main,other,output/figures,,heuristic string match
scripts/seasonal_consistency_rank.py,parse_args,other,output/figures,,heuristic string match
scripts/seasonal_consistency_rank.py,main,other,output/tables,,heuristic string match
scripts/seasonal_consistency_rank.py,parse_args,other,output/tables,,heuristic string match
scripts/sensitivity_beta.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/sensitivity_beta.py,main,table,<OUT_BETA>,,variable placeholder
scripts/sensitivity_beta.py,main,table,<OUT_HARM>,,variable placeholder
scripts/sensitivity_beta.py,main,table,<TABLE2_PATH>,,variable placeholder
scripts/sensitivity_beta.py,main,table,<TABLE2_PATH>,,variable placeholder
scripts/sensitivity_beta.py,main,figure,<FIG_PATH>,,variable placeholder
scripts/sensitivity_beta.py,_read_modis_lcf,other,"
    Prefer:  output/regional_monthly/MODIS_<REGION>_monthly.csv  (应含列 MODIS_LCF)
    Fallback:cllmodis_region_mean_*_<REGION>.csv   (两列: time, value 或无表头)
    返回: pd.Series(index=datetime, name='LCF')
    ",,heuristic string match
scripts/sensitivity_beta.py,<module>,other,"
Seasonal (month-by-month) sensitivity:
  LCF'_m = sum_j beta_j^(m) * CCF'_{j,m} + eps_m

Inputs (per region):
  - output/regional_monthly/MODIS_<REGION>_monthly.csv   (needs column MODIS_LCF; fallback to cllmodis_region_mean_*.csv)
  - output/regional_monthly/ERA5_<REGION>_monthly.csv    (columns like ERA5_EIS, ERA5_W500, ERA5_SST, ERA5_TS, ERA5_U10, ERA5_Q)

Preprocessing:
  - For each calendar month m (1..12), z-score LCF and every CCF using that month's (across years) mean/std
  - Check multicollinearity via VIF (warn if > 5)
  - OLS with Newey–West (HAC) standard errors (lag = --lags)

Outputs:
  - output/sensitivity_beta/BETA_<REGION>.csv
      columns: month,var,beta,se,t,p,ci_low,ci_high,n,rsq
  - output/sensitivity_beta/BETA_HARM_<REGION>.csv
      columns: var,A,phase_deg,peak_month,r2_beta,n_valid
  - output/tables/Table2_beta.csv  (append/update one row per var per region)
      columns: region,var,beta_mean,beta_ci_low,beta_ci_high,A,phase_deg
  - output/figures/Fig2_beta_stripes_<REGION>.png  (variables x 12 months heatmap-like stripes)

Usage:
  python scripts/sensitivity_beta.py --region NEP --ccf EIS,W500,SST,U10,Q --lags 1
  # ΔSST 可写成 DSST 或 ΔSST
",,heuristic string match
scripts/utils_config.py,_ensure_output_tree,other,<ROOT>/<V>,,variable placeholder; Path constructor; directory creation
scripts/utils_config.py,get_outdir,other,<P>,,variable placeholder; directory creation
scripts/utils_config.py,_ensure_output_tree,log,"
    统一输出目录结构：
      output/
        regional_monthly/  harmonics/  sensitivity_beta/  gamma/  dLCF_dTs/
        lambda/  tables/  figures/  logs/
    允许老配置的 results_dir/figures_dir/logs_dir 共存（向后兼容）。
    ",,heuristic string match
scripts/utils_config.py,make_output_path,other,返回 output/<kind>/<name> 的完整路径。,,heuristic string match
